customerid,name,country,state,gender,dob,interests,pincode
CUST-0061,Shakil Kumar,Bangladesh,Khulna,Male,1978-07-21,Sci-Fi,7248
CUST-0062,Arjun Johnson,Unknown,Unknown,Female,2005-11-06,"Reality TV, Documentary, Horror",6772
CUST-0063,Rifat Gupta,Bangladesh,Chittagong,Female,1966-07-01,"Romance, Reality TV, Drama",7807
CUST-0064,Nila Ahmed,Bangladesh,Khulna,Male,1978-03-29,"Fantasy, Romance, Crime",3306
CUST-0065,Ravi Alam,Nepal,Gandaki,Male,1985-05-27,"Kids, Reality TV",7086
CUST-0066,Tanvir Kumar,Bangladesh,Sylhet,Male,1985-10-29,"Horror, Kids, Sci-Fi",ABCDE
CUST-0067,Priya Garcia,Bangladesh,Chittagong,Female,1989-03-26,"Sports, Reality TV",2622
CUST-0068,Anjali Verma,Unknown,Khulna,Unknown,1995-10-05,"Anime, Kids",4109
CUST-0069,Mim Rai,India,Unknown,Male,1974-03-17,Fantasy,4538
CUST-0070,Rifat Smith,India,Maharashtra,Female,1966-02-27,Action,6304
CUST-0071,Fatima Akter,Bangladesh,Sylhet,Female,1969-11-22,"Anime, Thriller",Unknown
CUST-0072,Neha Begum,Unknown,Rajshahi,Male,1968-04-19,Romance,123
CUST-0073,Kavita Gupta,India,Tamil Nadu,Female,1970-02-18,"Kids, Crime, Anime",8398
CUST-0074,Rifat Brown,Bangladesh,Dhaka,Female,1995-10-23,"Comedy, Musical",2582
CUST-0075,Sunita Singh,Bangladesh,Sylhet,Male,1983-12-22,"Action, Horror, Sports",9313
CUST-0076,Payel Khan,India,Karnataka,Male,2002-11-30,"Crime, Fantasy, Sports",1430
CUST-0077,Rohan Adhikari,Unknown,Karnataka,Male,1990-05-28,"Sci-Fi, Comedy, Drama",2503
CUST-0078,Sunita Miller,Bangladesh,Chittagong,Male,2004-08-16,Drama,2336
CUST-0079,Tasnia Jones,India,West Bengal,Female,1977-09-15,"Kids, Sports, Documentary",4612
CUST-0080,Laura Verma,Bangladesh,Chittagong,Male,2027-03-17,Drama,9196
CUST-0081,Pooja Gurung,Unknown,Unknown,Unknown,1990-09-21,"Reality TV, Kids",1341
CUST-0082,John Akter,India,Karnataka,Male,1988-07-03,Sci-Fi,4630
CUST-0083,Emily Shrestha,Bangladesh,Sylhet,Male,1993-12-14,Thriller,3842
CUST-0084,Rohan Khan,India,West Bengal,Female,2004-07-26,"Kids, Musical, Sports",6179
CUST-0085,Rima Jones,Bangladesh,Khulna,Male,1967-07-22,Unknown,2479
CUST-0086,Kavita Verma,Bangladesh,Dhaka,Female,1986-05-03,"Drama, Action, Documentary",6626
CUST-0087,Anita Hossain,Unknown,Rajshahi,Female,1977-09-09,"Sci-Fi, Crime",6482
CUST-0088,Rakib Smith,Bangladesh,Sylhet,Female,1978-12-01,"Reality TV, Kids, Sci-Fi",2388
CUST-0089,Priya Davis,Bangladesh,Sylhet,Male,1978-11-09,Thriller,4145
CUST-0090,Rifat Khan,Bangladesh,Dhaka,Female,1981-11-25,Drama,3712
CUST-0091,Deepak Jones,Bangladesh,Chittagong,Female,1975-09-24,"Crime, Musical",7026
CUST-0092,Gita Sharma,Nepal,Gandaki,Female,1976-03-20,Kids,2680
CUST-0093,Anita Rai,Bangladesh,Chittagong,Female,2005-11-04,Fantasy,1436
CUST-0094,James Rahman,Bangladesh,Dhaka,Male,1994-02-26,"Crime, Drama",8740
CUST-0095,Ramesh Gurung,Bangladesh,Unknown,Male,1997-08-16,"Anime, Sci-Fi, Comedy",2996
CUST-0096,Nusrat Alam,Bangladesh,Dhaka,Male,1997-03-26,Horror,4941
CUST-0097,Arjun Brown,Bangladesh,Khulna,Female,1982-07-08,"Action, Kids",1266
CUST-0098,Michael Thapa,Bangladesh,Dhaka,Male,1972-11-08,"Documentary, Reality TV, Musical",2033
CUST-0099,Anita Shrestha,Nepal,Kathmandu,Male,2001-07-30,"Documentary, Horror, Action",6848
CUST-0100,Meena Rahman,Nepal,Gandaki,Female,1973-05-19,"Reality TV, Documentary",5369
CUST-0101,Sadia Singh,Bangladesh,Chittagong,Male,1985-01-01,"Reality TV, Sci-Fi, Drama",1693
CUST-0102,Deepak Rai,Nepal,Unknown,Female,1998-08-22,"Drama, Action, Musical",8179
CUST-0103,Karim Khan,Bangladesh,Sylhet,Female,1999-03-26,Sports,6150
CUST-0104,Sita Uddin,Unknown,Chittagong,Female,1976-09-04,"Documentary, Thriller, Sports",9047
CUST-0105,Imran Chowdhury,Bangladesh,Rajshahi,Unknown,1996-10-30,Anime,3580
CUST-0106,Anita Patel,Nepal,Gandaki,Male,1987-03-01,Romance,3126
CUST-0107,Kavita Basnet,Bangladesh,Rajshahi,Female,1979-03-23,"Comedy, Documentary, Fantasy",3981
CUST-0108,Meena Khan,Bangladesh,Sylhet,Male,1988-04-11,"Fantasy, Comedy",5496
CUST-0109,Hasan Gupta,Bangladesh,Chittagong,Female,1990-04-14,Fantasy,5336
CUST-0110,Sita Ahmed,India,Delhi,Female,1986-08-31,Crime,8430
CUST-0111,Rakib Patel,Bangladesh,Rajshahi,Male,2003-08-12,"Sci-Fi, Drama",2739
CUST-0112,John Alam,Bangladesh,Unknown,Unknown,2003-10-26,Fantasy,6123
CUST-0113,Imran Shrestha,Bangladesh,Unknown,Unknown,1974-08-26,"Romance, Action, Fantasy",8710
CUST-0114,Shakil Davis,Bangladesh,Khulna,Male,1990-03-15,Romance,Unknown
CUST-0115,Robert Shrestha,Bangladesh,Dhaka,Male,1981-05-27,Thriller,1659
CUST-0116,Karim Rahman,Bangladesh,Sylhet,Female,1992-07-02,"Drama, Sci-Fi",5902
CUST-0117,Divya Smith,Bangladesh,Sylhet,Male,1983-09-08,"Horror, Crime, Reality TV",8775
CUST-0118,Arif Gupta,India,Tamil Nadu,Female,1982-01-21,Fantasy,Unknown
CUST-0119,Mim Ahmed,Bangladesh,Rajshahi,Female,1998-01-03,"Action, Reality TV, Drama",8837
CUST-0120,Neha Williams,Bangladesh,Sylhet,Female,2001-01-19,"Horror, Sports, Documentary",5890
CUST-0121,Rifat Begum,India,West Bengal,Female,1970-06-20,"Kids, Anime, Sci-Fi",6654
CUST-0122,Meena Thapa,Bangladesh,Dhaka,Female,1974-01-24,"Horror, Anime, Reality TV",4920
CUST-0123,Sumaiya Rahman,India,Delhi,Female,1971-03-03,Anime,8793
CUST-0124,Rahul Gupta,Bangladesh,Dhaka,Male,1966-09-04,Sci-Fi,1595
CUST-0125,Laura Thapa,Bangladesh,Dhaka,Male,1993-10-08,"Anime, Documentary, Drama",4159
CUST-0126,Mim Smith,Bangladesh,Chittagong,Female,1973-08-31,Sports,8007
CUST-0127,Vikram Smith,Bangladesh,Chittagong,Male,1985-01-15,"Romance, Horror",5285
CUST-0128,Sita Johnson,India,West Bengal,Female,1995-12-19,Kids,4618
CUST-0129,Rifat Khan,Bangladesh,Sylhet,Female,2000-12-22,"Fantasy, Thriller, Crime",2341
CUST-0130,Neha Jones,Unknown,Unknown,Female,1989-01-27,Drama,2904
CUST-0131,Gita Ahmed,India,Tamil Nadu,Male,1990-04-19,Anime,1356
CUST-0132,Laura Uddin,India,Delhi,Male,1968-02-05,"Action, Horror",7887
CUST-0133,Sarah Basnet,Bangladesh,Sylhet,Male,1982-08-19,"Drama, Reality TV, Thriller",5888
CUST-0134,Sophia Kumar,India,Maharashtra,Male,1997-07-10,Action,1256
CUST-0135,Sumaiya Ahmed,Unknown,Sylhet,Male,1974-09-30,Drama,6224
CUST-0136,Arjun Verma,India,Maharashtra,Male,2004-06-18,"Musical, Drama, Kids",1768
CUST-0137,Michael Gupta,India,West Bengal,Male,2003-02-06,Horror,8586
CUST-0138,Nusrat Davis,Bangladesh,Chittagong,Male,1985-03-06,"Comedy, Anime",5398
CUST-0139,David Kumar,India,Maharashtra,Female,2005-10-10,Thriller,2922
CUST-0140,Sunita Shrestha,Bangladesh,Chittagong,Female,1988-12-09,"Romance, Horror, Fantasy",8635
CUST-0141,Tanvir Thapa,Nepal,Gandaki,Male,1998-04-02,Action,7841
CUST-0142,Shakil Khan,Bangladesh,Chittagong,Unknown,2001-11-08,"Reality TV, Kids",6770
CUST-0143,Sabbir Khan,India,Tamil Nadu,Female,1994-12-23,Unknown,4791
CUST-0144,Rakib Patel,Bangladesh,Khulna,Female,1994-07-29,"Action, Musical",1274
CUST-0145,Neha Singh,Unknown,Rajshahi,Male,1992-10-20,"Horror, Fantasy, Romance",7112
CUST-0146,Laura Jones,India,Delhi,Male,1993-07-25,Reality TV,8109
CUST-0147,Sita Thapa,Bangladesh,Dhaka,Female,1967-02-02,Kids,1539
CUST-0148,Nila Adhikari,Nepal,Lumbini,Female,1978-06-05,Sports,7375
CUST-0149,Gita Basnet,Bangladesh,Chittagong,Unknown,1975-06-01,Romance,7499
CUST-0150,Meena Smith,Bangladesh,Rajshahi,Female,1995-06-29,"Kids, Sci-Fi, Comedy",5037
CUST-0151,Anita Hossain,Bangladesh,Chittagong,Male,1984-12-13,"Crime, Horror",8061
CUST-0152,Robert Davis,India,Delhi,Female,1965-07-22,"Sci-Fi, Musical",4977
CUST-0153,Arjun Miller,Bangladesh,Khulna,Male,1983-11-22,Unknown,5040
CUST-0154,Deepak Gupta,Bangladesh,Dhaka,Unknown,1982-01-16,"Documentary, Romance",3230
CUST-0155,Priya Smith,India,Maharashtra,Male,1990-11-01,Romance,7437
CUST-0156,Sarah Chowdhury,Nepal,Lumbini,Female,1996-10-10,Documentary,2133
CUST-0157,James Kumar,Bangladesh,Chittagong,Male,1982-12-24,"Anime, Fantasy, Reality TV",123
CUST-0158,Ramesh Basnet,India,Maharashtra,Female,1995-05-23,"Sci-Fi, Crime, Romance",1172
CUST-0159,Tanvir Uddin,Bangladesh,Sylhet,Male,1987-06-14,Romance,5840
CUST-0160,James Adhikari,Nepal,Lumbini,Male,1980-08-16,"Comedy, Documentary",2100
CUST-0161,Priya Rahman,Unknown,Karnataka,Male,1972-10-29,"Drama, Romance, Anime",7636
CUST-0162,Bikash Akter,Bangladesh,Sylhet,Male,1974-03-26,"Crime, Reality TV",ABCDE
CUST-0163,Suresh Akter,Bangladesh,Khulna,Female,1982-08-11,"Comedy, Romance, Fantasy",5873
CUST-0164,Kavita Sharma,Bangladesh,Chittagong,Male,1983-10-06,"Drama, Sports, Sci-Fi",9804
CUST-0165,Ramesh Adhikari,India,West Bengal,Male,2003-10-29,"Action, Documentary",9281
CUST-0166,Sita Garcia,Bangladesh,Rajshahi,Female,1977-05-01,Anime,9115
CUST-0167,Pooja Miller,Bangladesh,Sylhet,Female,1974-10-21,"Comedy, Reality TV",5877
CUST-0168,Karim Jones,Bangladesh,Dhaka,Female,1996-11-18,"Kids, Sci-Fi, Drama",4390
CUST-0169,Nusrat Sharma,Bangladesh,Chittagong,Male,2003-06-28,"Musical, Kids, Comedy",7743
CUST-0170,Nusrat Uddin,Nepal,Kathmandu,Male,1995-05-03,"Documentary, Drama",7786
CUST-0171,David Jones,Bangladesh,Khulna,Female,2026-04-06,"Documentary, Kids, Fantasy",9756
CUST-0172,Laura Ahmed,Nepal,Gandaki,Female,2000-05-12,"Musical, Kids",Unknown
CUST-0173,Sophia Islam,Bangladesh,Dhaka,Female,1978-07-17,Fantasy,6905
CUST-0174,Arif Hossain,Unknown,Khulna,Male,2027-05-04,Drama,8291
CUST-0175,Ahmed Islam,India,West Bengal,Male,1969-08-06,Romance,7270
CUST-0176,Meena Gurung,India,Maharashtra,Male,1980-10-02,"Thriller, Kids, Reality TV",8248
CUST-0177,Payel Hossain,Nepal,Lumbini,Male,1993-12-01,Thriller,5668
CUST-0178,Meena Patel,Bangladesh,Sylhet,Male,2000-08-10,Documentary,2163
CUST-0179,Neha Basnet,Nepal,Bagmati,Female,1972-10-01,Unknown,123
CUST-0180,Payel Rahman,Nepal,Lumbini,Male,1992-08-20,Horror,ABCDE
CUST-0181,Rima Davis,Bangladesh,Dhaka,Female,1968-11-13,"Comedy, Documentary",Unknown
CUST-0182,Sunita Kumar,Unknown,Maharashtra,Unknown,1970-09-11,"Crime, Fantasy, Horror",1480
CUST-0183,Emily Thapa,Unknown,Sylhet,Female,1990-06-06,Romance,2889
CUST-0184,Rifat Singh,Bangladesh,Unknown,Male,2003-06-20,Anime,7870
CUST-0185,Rifat Smith,Bangladesh,Dhaka,Female,2001-01-30,"Action, Sci-Fi, Comedy",6090
CUST-0186,John Hossain,India,Karnataka,Male,1987-02-18,Reality TV,5016
CUST-0187,Rima Islam,Nepal,Gandaki,Male,1998-02-09,"Horror, Comedy, Thriller",9061
CUST-0188,Nusrat Khan,Unknown,Maharashtra,Male,1969-04-15,Unknown,8126
CUST-0189,Prakash Khan,Bangladesh,Rajshahi,Male,1971-02-09,"Comedy, Drama, Musical",7660
CUST-0190,Mim Davis,Bangladesh,Rajshahi,Male,1996-08-11,"Sports, Action, Thriller",2494
CUST-0191,Anita Alam,Nepal,Lumbini,Unknown,2003-05-03,"Anime, Reality TV",2669
CUST-0192,Hasan Chowdhury,Bangladesh,Rajshahi,Unknown,1976-08-11,Action,8265
CUST-0193,Hasan Hossain,Nepal,Gandaki,Female,1966-04-29,"Kids, Sci-Fi",4066
CUST-0194,Tasnia Uddin,Unknown,Sylhet,Female,1968-12-08,"Sci-Fi, Drama",9614
CUST-0195,Sumaiya Gupta,Nepal,Gandaki,Female,1987-07-16,"Sci-Fi, Horror",4588
CUST-0196,Fatima Basnet,Unknown,West Bengal,Unknown,1994-06-20,Horror,1916
CUST-0197,Ravi Alam,India,Maharashtra,Male,2005-12-31,"Action, Reality TV, Fantasy",3328
CUST-0198,Arjun Ahmed,India,Unknown,Male,1988-08-13,"Action, Romance",3137
CUST-0199,Emily Patel,Unknown,Chittagong,Female,1981-10-04,"Kids, Sci-Fi, Sports",3235
CUST-0200,Sabbir Singh,Nepal,Lumbini,Unknown,1991-06-03,Sci-Fi,3086
CUST-0201,Nila Singh,Bangladesh,Sylhet,Male,1990-05-15,Musical,2274
CUST-0202,Sumaiya Johnson,Nepal,Bagmati,Male,1980-09-21,"Crime, Comedy",123
CUST-0203,Deepak Brown,Nepal,Gandaki,Male,1990-12-06,"Crime, Kids, Thriller",ABCDE
CUST-0204,Shakil Islam,Unknown,Chittagong,Male,1992-07-11,"Reality TV, Action",8113
CUST-0205,Sabbir Rahman,Bangladesh,Rajshahi,Male,1990-08-25,Unknown,ABCDE
CUST-0206,Shakil Gurung,India,Delhi,Male,1970-03-08,"Crime, Sci-Fi",5341
CUST-0207,Sadia Gupta,Bangladesh,Rajshahi,Male,1975-02-24,"Sports, Action",2584
CUST-0208,Sadia Kumar,Bangladesh,Sylhet,Female,1989-01-08,"Fantasy, Documentary, Sports",2293
CUST-0209,Laura Basnet,Nepal,Lumbini,Female,1972-07-01,Crime,ABCDE
CUST-0210,Gita Brown,Bangladesh,Khulna,Female,1989-12-16,"Anime, Romance",1202
CUST-0211,Ramesh Verma,India,Maharashtra,Female,1990-03-30,Crime,6633
CUST-0212,James Uddin,Bangladesh,Rajshahi,Male,1996-02-12,"Action, Sci-Fi",4892
CUST-0213,Nusrat Singh,Bangladesh,Dhaka,Male,2003-07-02,"Kids, Comedy, Thriller",8259
CUST-0214,Meena Gurung,Bangladesh,Dhaka,Female,1999-01-26,"Fantasy, Romance, Action",6097
CUST-0215,Anita Miller,Bangladesh,Dhaka,Female,1985-06-23,Musical,7035
CUST-0216,Sophia Miller,Bangladesh,Chittagong,Male,1980-09-09,"Drama, Fantasy",2480
CUST-0217,Shakil Islam,Bangladesh,Chittagong,Female,1988-01-10,Fantasy,1145
CUST-0218,Rahul Adhikari,Bangladesh,Dhaka,Female,1996-10-27,"Horror, Sci-Fi, Fantasy",4575
CUST-0219,Sophia Begum,India,Delhi,Female,1969-11-07,"Comedy, Romance",5536
CUST-0220,Arif Gupta,India,Tamil Nadu,Female,1979-05-04,"Drama, Reality TV, Action",5250
CUST-0221,James Williams,Bangladesh,Sylhet,Female,2000-03-17,"Musical, Kids",3785
CUST-0222,Prakash Basnet,India,Maharashtra,Female,2005-05-09,"Kids, Comedy",6031
CUST-0223,James Thapa,Nepal,Gandaki,Female,1992-11-03,Documentary,7253
CUST-0224,Neha Begum,Bangladesh,Chittagong,Female,2003-09-08,"Drama, Crime, Comedy",3897
CUST-0225,John Gupta,Bangladesh,Chittagong,Female,1984-06-15,"Sci-Fi, Musical, Fantasy",1618
CUST-0226,Suresh Ahmed,India,Unknown,Male,1996-02-10,"Horror, Drama",6015
CUST-0227,Sabbir Hossain,India,West Bengal,Female,2005-06-08,"Romance, Crime",7609
CUST-0228,Fatima Alam,Bangladesh,Dhaka,Female,1993-09-22,"Crime, Anime",1785
CUST-0229,Prakash Chowdhury,Unknown,Delhi,Male,1971-11-14,Reality TV,123
CUST-0230,Prakash Chowdhury,India,Maharashtra,Male,1977-09-06,Crime,4272
CUST-0231,Meena Uddin,India,West Bengal,Female,1986-07-25,Unknown,2809
CUST-0232,Arjun Kumar,Bangladesh,Dhaka,Female,1978-04-13,"Documentary, Action",1646
CUST-0233,Shakil Johnson,India,Delhi,Female,1994-10-04,"Drama, Romance, Fantasy",5395
CUST-0234,Deepak Hossain,Bangladesh,Rajshahi,Male,1986-06-15,"Kids, Crime",1960
CUST-0235,Sabbir Chowdhury,Bangladesh,Sylhet,Male,2003-09-11,"Musical, Fantasy, Reality TV",8997
CUST-0236,Mim Basnet,Unknown,Khulna,Female,1990-05-07,Kids,2560
CUST-0237,Olivia Kumar,India,West Bengal,Female,1993-11-11,Anime,3709
CUST-0238,Rakib Shrestha,Bangladesh,Khulna,Female,1975-07-18,Documentary,2442
CUST-0239,Anjali Jones,Bangladesh,Dhaka,Male,2026-04-04,"Sports, Kids, Horror",8474
CUST-0240,Emily Johnson,India,Karnataka,Male,1999-01-23,"Thriller, Action, Romance",5783
CUST-0241,Pooja Miller,Unknown,Chittagong,Female,1976-05-29,"Thriller, Musical, Comedy",8488
CUST-0242,Imran Patel,Unknown,Sylhet,Male,1987-08-14,Unknown,8091
CUST-0243,Divya Garcia,Nepal,Kathmandu,Female,1987-08-13,"Sci-Fi, Sports",5482
CUST-0244,Laura Smith,Nepal,Bagmati,Female,1996-06-20,"Fantasy, Romance, Reality TV",4560
CUST-0245,Imran Ahmed,India,Maharashtra,Female,1999-02-16,"Anime, Documentary",7839
CUST-0246,Gita Singh,Nepal,Gandaki,Male,1967-07-17,Horror,5695
CUST-0247,Gita Uddin,Bangladesh,Khulna,Male,2003-12-09,"Reality TV, Anime, Thriller",4892
CUST-0248,Vikram Thapa,India,Delhi,Unknown,1967-06-01,Reality TV,8259
CUST-0249,Rifat Adhikari,India,Tamil Nadu,Unknown,1995-08-16,Drama,2955
CUST-0250,David Rahman,Bangladesh,Unknown,Female,1979-06-22,"Action, Crime, Kids",9037
CUST-0251,Arjun Davis,Bangladesh,Chittagong,Male,1969-02-15,"Thriller, Musical",5809
CUST-0252,Payel Shrestha,India,Delhi,Male,1992-11-11,Action,2857
CUST-0253,David Uddin,Unknown,Sylhet,Female,2005-04-18,"Thriller, Romance, Anime",9814
CUST-0254,Suresh Islam,India,Maharashtra,Male,1998-04-04,"Kids, Fantasy",3519
CUST-0255,Fatima Jones,India,Delhi,Female,2005-11-12,"Sci-Fi, Musical",6183
CUST-0256,Fatima Williams,India,Tamil Nadu,Female,1981-01-17,"Comedy, Horror, Crime",5612
CUST-0257,Ravi Adhikari,Bangladesh,Dhaka,Male,2000-10-09,"Horror, Kids, Drama",7113
CUST-0258,Ahmed Davis,Nepal,Bagmati,Unknown,1998-04-05,"Romance, Thriller, Sci-Fi",3333
CUST-0259,Sabbir Akter,Bangladesh,Chittagong,Unknown,1968-04-13,"Kids, Comedy",8982
CUST-0260,Emily Johnson,Bangladesh,Sylhet,Male,1994-07-31,"Reality TV, Sports",6182
CUST-0261,Olivia Akter,Bangladesh,Rajshahi,Male,1986-07-13,"Documentary, Romance",2783
CUST-0262,Nila Gupta,India,Maharashtra,Female,2005-01-07,Fantasy,Unknown
CUST-0263,Divya Williams,India,Tamil Nadu,Unknown,1971-09-02,"Sci-Fi, Thriller",5767
CUST-0264,Hasan Jones,Bangladesh,Sylhet,Female,1998-12-20,"Drama, Documentary, Musical",3395
CUST-0265,Sunita Singh,Unknown,Unknown,Male,1988-03-26,"Sci-Fi, Documentary",1653
CUST-0266,Sita Smith,Bangladesh,Khulna,Female,1981-05-22,"Kids, Fantasy, Comedy",4651
CUST-0267,Neha Williams,Bangladesh,Rajshahi,Male,1988-01-31,"Horror, Thriller, Drama",2938
CUST-0268,Prakash Alam,Bangladesh,Rajshahi,Female,1966-01-03,Action,3207
CUST-0269,Bikash Miller,Bangladesh,Chittagong,Female,1990-04-14,"Action, Reality TV, Fantasy",2404
CUST-0270,Payel Jones,India,Maharashtra,Female,1973-02-27,"Kids, Anime, Horror",8429
CUST-0271,Rohan Sharma,Bangladesh,Dhaka,Female,2002-01-28,Sports,1639
CUST-0272,Suresh Miller,India,Maharashtra,Female,1983-11-15,"Fantasy, Action",8899
CUST-0273,Meena Williams,Bangladesh,Chittagong,Male,2004-04-30,Unknown,1116
CUST-0274,Arjun Miller,Bangladesh,Chittagong,Male,1976-05-18,"Fantasy, Anime",5514
CUST-0275,Gita Williams,India,Tamil Nadu,Female,1978-10-04,"Romance, Crime, Reality TV",2951
CUST-0276,Sunita Alam,Bangladesh,Sylhet,Female,1996-09-15,Drama,2492
CUST-0277,Rima Garcia,Nepal,Gandaki,Female,1982-12-22,"Kids, Anime, Horror",3871
CUST-0278,Bikash Garcia,Bangladesh,Sylhet,Female,1975-05-24,"Drama, Kids, Action",3579
